month	year	localidad	temperatura
9	2012	bahia_san_luis_gonzaga	27.7837467
10	2012	bahia_san_luis_gonzaga	23.379591
11	2012	bahia_san_luis_gonzaga	20.5014706
12	2012	bahia_san_luis_gonzaga	16.3819199
1	2013	bahia_san_luis_gonzaga	16.1159058
2	2013	bahia_san_luis_gonzaga	16.6528568
3	2013	bahia_san_luis_gonzaga	18.7126827
4	2013	bahia_san_luis_gonzaga	21.6337948
5	2013	bahia_san_luis_gonzaga	25.0998344
6	2013	bahia_san_luis_gonzaga	28.4121609
7	2013	bahia_san_luis_gonzaga	29.2703228
8	2013	bahia_san_luis_gonzaga	29.951992
9	2013	bahia_san_luis_gonzaga	25.8686962
10	2013	bahia_san_luis_gonzaga	23.1344891
11	2013	bahia_san_luis_gonzaga	18.6237278
12	2013	bahia_san_luis_gonzaga	17.4438915
1	2014	bahia_san_luis_gonzaga	17.7792969
2	2014	bahia_san_luis_gonzaga	19.1125908
3	2014	bahia_san_luis_gonzaga	19.9761715
4	2014	bahia_san_luis_gonzaga	21.2795372
5	2014	bahia_san_luis_gonzaga	26.2652683
6	2014	bahia_san_luis_gonzaga	28.756876
7	2014	bahia_san_luis_gonzaga	30.1253471
8	2014	bahia_san_luis_gonzaga	30.2249737
9	2014	bahia_san_luis_gonzaga	27.7472897
10	2014	bahia_san_luis_gonzaga	24.0395908
11	2014	bahia_san_luis_gonzaga	20.6978188
12	2014	bahia_san_luis_gonzaga	18.0760326
1	2015	bahia_san_luis_gonzaga	18.5845203
2	2015	bahia_san_luis_gonzaga	19.0579758
3	2015	bahia_san_luis_gonzaga	20.5738392
4	2015	bahia_san_luis_gonzaga	20.7024212
5	2015	bahia_san_luis_gonzaga	24.0515862
6	2015	bahia_san_luis_gonzaga	28.0692997
7	2015	bahia_san_luis_gonzaga	29.8405724
8	2015	bahia_san_luis_gonzaga	29.8454475
9	2015	bahia_san_luis_gonzaga	28.4209881
10	2015	bahia_san_luis_gonzaga	24.3787746
11	2015	bahia_san_luis_gonzaga	20.3388729
12	2015	bahia_san_luis_gonzaga	17.6914654
1	2016	bahia_san_luis_gonzaga	17.324028
2	2016	bahia_san_luis_gonzaga	18.9099083
3	2016	bahia_san_luis_gonzaga	19.9486885
4	2016	bahia_san_luis_gonzaga	20.7259731
5	2016	bahia_san_luis_gonzaga	25.40481
6	2016	bahia_san_luis_gonzaga	27.5615139
7	2016	bahia_san_luis_gonzaga	29.3042316
8	2016	bahia_san_luis_gonzaga	29.0061703
9	2016	bahia_san_luis_gonzaga	27.3733311
10	2016	bahia_san_luis_gonzaga	24.5536537
11	2016	bahia_san_luis_gonzaga	19.8926315
12	2016	bahia_san_luis_gonzaga	17.0485344
1	2017	bahia_san_luis_gonzaga	16.7996273
2	2017	bahia_san_luis_gonzaga	18.1851902
3	2017	bahia_san_luis_gonzaga	20.3326912
4	2017	bahia_san_luis_gonzaga	21.2440453
5	2017	bahia_san_luis_gonzaga	24.089344
7	2002	isla_angel_de_la_guarda	26.4998455
8	2002	isla_angel_de_la_guarda	29.3195057
9	2002	isla_angel_de_la_guarda	26.3774624
